experiment,mode,trial_id,seed,event_id,method_id,method_label,method_source,adapted,topology_fingerprint,scenario_fingerprint,qos_fingerprint,event_fingerprint,series,result_mode,task_received_at,event_occurred_at,stable_verify_finished_at,task_size,num_dag_edges,num_gateways,state_churn_probability,conflict_density,conflict_type,ground_truth_feasible,business_change_type,affected_scope_ratio,affected_scope_bucket_percent,failure_type,failure_severity,formation_latency_ms,resolution_latency_ms,reconfiguration_latency_ms,recovery_latency_ms,success,qos_satisfied,safe_rejection,failure_reason,total_rules,changed_rules,rule_change_ratio,total_gateways,changed_gateways,gateway_change_ratio,total_flows,unaffected_flows,disturbed_unaffected_flows,unaffected_disturbance_ratio,control_messages,control_bytes,rollback_count,stale_state_detected
exp1,paper,exp1:state_churn:0:seed:0002:event:000,2,0,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,dca0fc43fc72eb917743139258592d73fb0016e73d686639119cefd5bedd06a9,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.28785594161333367,24,38,12,0.0,,,,,,,,,287.85594161333364,,,,True,True,,,91,,,12,,,38,,,,592,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:000,2,0,cspf,CSPF,CSPF,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,dca0fc43fc72eb917743139258592d73fb0016e73d686639119cefd5bedd06a9,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.12282655453000013,24,38,12,0.0,,,,,,,,,122.82655453000014,,,,True,True,,,91,,,12,,,38,,,,356,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:000,2,0,proposed,Proposed,This work,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,dca0fc43fc72eb917743139258592d73fb0016e73d686639119cefd5bedd06a9,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.02838813108500001,24,38,12,0.0,,,,,,,,,28.388131085000012,,,,True,True,,,91,,,12,,,38,,,,190,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:000,2,0,proposed_without_batch,Proposed w/o Batch,This work,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,dca0fc43fc72eb917743139258592d73fb0016e73d686639119cefd5bedd06a9,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.062410988138333345,24,38,12,0.0,,,,,,,,,62.410988138333344,,,,True,True,,,91,,,12,,,38,,,,190,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:001,2,1,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,b77534e89b8321bc30bf68d94335a46c49796ddbfa5eac007ed45ed2d97cc0a5,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.28785594161333367,24,38,12,0.0,,,,,,,,,287.85594161333364,,,,True,True,,,91,,,12,,,38,,,,592,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:001,2,1,cspf,CSPF,CSPF,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,b77534e89b8321bc30bf68d94335a46c49796ddbfa5eac007ed45ed2d97cc0a5,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.12282655453000013,24,38,12,0.0,,,,,,,,,122.82655453000014,,,,True,True,,,91,,,12,,,38,,,,356,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:001,2,1,proposed,Proposed,This work,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,b77534e89b8321bc30bf68d94335a46c49796ddbfa5eac007ed45ed2d97cc0a5,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.02838813108500001,24,38,12,0.0,,,,,,,,,28.388131085000012,,,,True,True,,,91,,,12,,,38,,,,190,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:001,2,1,proposed_without_batch,Proposed w/o Batch,This work,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,b77534e89b8321bc30bf68d94335a46c49796ddbfa5eac007ed45ed2d97cc0a5,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.062410988138333345,24,38,12,0.0,,,,,,,,,62.410988138333344,,,,True,True,,,91,,,12,,,38,,,,190,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:002,2,2,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,95cf972b52cffa7fc8f8378dd64151015c24599adf671bbd18a58c0015037a15,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.28785594161333367,24,38,12,0.0,,,,,,,,,287.85594161333364,,,,True,True,,,91,,,12,,,38,,,,592,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:002,2,2,cspf,CSPF,CSPF,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,95cf972b52cffa7fc8f8378dd64151015c24599adf671bbd18a58c0015037a15,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.12282655453000013,24,38,12,0.0,,,,,,,,,122.82655453000014,,,,True,True,,,91,,,12,,,38,,,,356,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:002,2,2,proposed,Proposed,This work,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,95cf972b52cffa7fc8f8378dd64151015c24599adf671bbd18a58c0015037a15,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.02838813108500001,24,38,12,0.0,,,,,,,,,28.388131085000012,,,,True,True,,,91,,,12,,,38,,,,190,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:002,2,2,proposed_without_batch,Proposed w/o Batch,This work,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,95cf972b52cffa7fc8f8378dd64151015c24599adf671bbd18a58c0015037a15,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.062410988138333345,24,38,12,0.0,,,,,,,,,62.410988138333344,,,,True,True,,,91,,,12,,,38,,,,190,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:003,2,3,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,38923b62fb05cfe0171588f6e4e01aae5efc95219b2b447a769438de240a3b34,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.28785594161333367,24,38,12,0.0,,,,,,,,,287.85594161333364,,,,True,True,,,91,,,12,,,38,,,,592,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:003,2,3,cspf,CSPF,CSPF,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,38923b62fb05cfe0171588f6e4e01aae5efc95219b2b447a769438de240a3b34,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.12282655453000013,24,38,12,0.0,,,,,,,,,122.82655453000014,,,,True,True,,,91,,,12,,,38,,,,356,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:003,2,3,proposed,Proposed,This work,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,38923b62fb05cfe0171588f6e4e01aae5efc95219b2b447a769438de240a3b34,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.02838813108500001,24,38,12,0.0,,,,,,,,,28.388131085000012,,,,True,True,,,91,,,12,,,38,,,,190,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:003,2,3,proposed_without_batch,Proposed w/o Batch,This work,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,38923b62fb05cfe0171588f6e4e01aae5efc95219b2b447a769438de240a3b34,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.062410988138333345,24,38,12,0.0,,,,,,,,,62.410988138333344,,,,True,True,,,91,,,12,,,38,,,,190,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:004,2,4,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,fa688994b7669da48bf70f019e245c69c19e63d3d7eb8d7fafd01668a1416fb7,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.28785594161333367,24,38,12,0.0,,,,,,,,,287.85594161333364,,,,True,True,,,91,,,12,,,38,,,,592,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:004,2,4,cspf,CSPF,CSPF,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,fa688994b7669da48bf70f019e245c69c19e63d3d7eb8d7fafd01668a1416fb7,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.12282655453000013,24,38,12,0.0,,,,,,,,,122.82655453000014,,,,True,True,,,91,,,12,,,38,,,,356,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:004,2,4,proposed,Proposed,This work,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,fa688994b7669da48bf70f019e245c69c19e63d3d7eb8d7fafd01668a1416fb7,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.02838813108500001,24,38,12,0.0,,,,,,,,,28.388131085000012,,,,True,True,,,91,,,12,,,38,,,,190,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0002:event:004,2,4,proposed_without_batch,Proposed w/o Batch,This work,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,fa688994b7669da48bf70f019e245c69c19e63d3d7eb8d7fafd01668a1416fb7,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.062410988138333345,24,38,12,0.0,,,,,,,,,62.410988138333344,,,,True,True,,,91,,,12,,,38,,,,190,222538,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:000,3,0,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,0bc7456c67da42c3317a5624d69eae7b349bc89d0a38b32b5dcb0e76fd177448,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.29423782618833344,24,38,12,0.0,,,,,,,,,294.23782618833343,,,,True,True,,,85,,,12,,,38,,,,568,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:000,3,0,cspf,CSPF,CSPF,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,0bc7456c67da42c3317a5624d69eae7b349bc89d0a38b32b5dcb0e76fd177448,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.12983557092033346,24,38,12,0.0,,,,,,,,,129.83557092033345,,,,True,True,,,85,,,12,,,38,,,,342,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:000,3,0,proposed,Proposed,This work,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,0bc7456c67da42c3317a5624d69eae7b349bc89d0a38b32b5dcb0e76fd177448,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.026508087140000015,24,38,12,0.0,,,,,,,,,26.508087140000015,,,,True,True,,,85,,,12,,,38,,,,184,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:000,3,0,proposed_without_batch,Proposed w/o Batch,This work,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,0bc7456c67da42c3317a5624d69eae7b349bc89d0a38b32b5dcb0e76fd177448,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.05908557192800001,24,38,12,0.0,,,,,,,,,59.08557192800001,,,,True,True,,,85,,,12,,,38,,,,184,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:001,3,1,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,14ec3689234fa65d6a2b60b991e064e2b628041d3ce81b0be826d923fb6bb5b9,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.29423782618833344,24,38,12,0.0,,,,,,,,,294.23782618833343,,,,True,True,,,85,,,12,,,38,,,,568,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:001,3,1,cspf,CSPF,CSPF,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,14ec3689234fa65d6a2b60b991e064e2b628041d3ce81b0be826d923fb6bb5b9,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.12983557092033346,24,38,12,0.0,,,,,,,,,129.83557092033345,,,,True,True,,,85,,,12,,,38,,,,342,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:001,3,1,proposed,Proposed,This work,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,14ec3689234fa65d6a2b60b991e064e2b628041d3ce81b0be826d923fb6bb5b9,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.026508087140000015,24,38,12,0.0,,,,,,,,,26.508087140000015,,,,True,True,,,85,,,12,,,38,,,,184,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:001,3,1,proposed_without_batch,Proposed w/o Batch,This work,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,14ec3689234fa65d6a2b60b991e064e2b628041d3ce81b0be826d923fb6bb5b9,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.05908557192800001,24,38,12,0.0,,,,,,,,,59.08557192800001,,,,True,True,,,85,,,12,,,38,,,,184,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:002,3,2,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,6ddd413e1ded696121510b3bdedbeceb8097cf920b91a90e9e1e905660099293,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.29423782618833344,24,38,12,0.0,,,,,,,,,294.23782618833343,,,,True,True,,,85,,,12,,,38,,,,568,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:002,3,2,cspf,CSPF,CSPF,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,6ddd413e1ded696121510b3bdedbeceb8097cf920b91a90e9e1e905660099293,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.12983557092033346,24,38,12,0.0,,,,,,,,,129.83557092033345,,,,True,True,,,85,,,12,,,38,,,,342,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:002,3,2,proposed,Proposed,This work,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,6ddd413e1ded696121510b3bdedbeceb8097cf920b91a90e9e1e905660099293,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.026508087140000015,24,38,12,0.0,,,,,,,,,26.508087140000015,,,,True,True,,,85,,,12,,,38,,,,184,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:002,3,2,proposed_without_batch,Proposed w/o Batch,This work,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,6ddd413e1ded696121510b3bdedbeceb8097cf920b91a90e9e1e905660099293,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.05908557192800001,24,38,12,0.0,,,,,,,,,59.08557192800001,,,,True,True,,,85,,,12,,,38,,,,184,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:003,3,3,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,f32f2f81f1240d9b33890c7a670eec08f52d678b3fea61df2e984e659d5b1c90,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.29423782618833344,24,38,12,0.0,,,,,,,,,294.23782618833343,,,,True,True,,,85,,,12,,,38,,,,568,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:003,3,3,cspf,CSPF,CSPF,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,f32f2f81f1240d9b33890c7a670eec08f52d678b3fea61df2e984e659d5b1c90,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.12983557092033346,24,38,12,0.0,,,,,,,,,129.83557092033345,,,,True,True,,,85,,,12,,,38,,,,342,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:003,3,3,proposed,Proposed,This work,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,f32f2f81f1240d9b33890c7a670eec08f52d678b3fea61df2e984e659d5b1c90,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.026508087140000015,24,38,12,0.0,,,,,,,,,26.508087140000015,,,,True,True,,,85,,,12,,,38,,,,184,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:003,3,3,proposed_without_batch,Proposed w/o Batch,This work,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,f32f2f81f1240d9b33890c7a670eec08f52d678b3fea61df2e984e659d5b1c90,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.05908557192800001,24,38,12,0.0,,,,,,,,,59.08557192800001,,,,True,True,,,85,,,12,,,38,,,,184,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:004,3,4,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,5b7a84e71009dfb82a2ad077a7c4dbb15d4476fe1a8a1478ba3cf2a655f34f96,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.29423782618833344,24,38,12,0.0,,,,,,,,,294.23782618833343,,,,True,True,,,85,,,12,,,38,,,,568,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:004,3,4,cspf,CSPF,CSPF,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,5b7a84e71009dfb82a2ad077a7c4dbb15d4476fe1a8a1478ba3cf2a655f34f96,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.12983557092033346,24,38,12,0.0,,,,,,,,,129.83557092033345,,,,True,True,,,85,,,12,,,38,,,,342,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:004,3,4,proposed,Proposed,This work,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,5b7a84e71009dfb82a2ad077a7c4dbb15d4476fe1a8a1478ba3cf2a655f34f96,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.026508087140000015,24,38,12,0.0,,,,,,,,,26.508087140000015,,,,True,True,,,85,,,12,,,38,,,,184,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0003:event:004,3,4,proposed_without_batch,Proposed w/o Batch,This work,False,15538851f5c523c4f496709f9c77d3eb28033591097d1805ef20c6fde4cb6c29,6d67041f700a4c3602423956a71b7820ce881ad3e7eef6997ed9a56f357e4d28,6724d59de5ca4bce3ea6ba6725b11e515dd613706fb754f43fcffe6424b2869e,5b7a84e71009dfb82a2ad077a7c4dbb15d4476fe1a8a1478ba3cf2a655f34f96,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.05908557192800001,24,38,12,0.0,,,,,,,,,59.08557192800001,,,,True,True,,,85,,,12,,,38,,,,184,205953,0,False
exp1,paper,exp1:state_churn:0:seed:0004:event:000,4,0,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,166000a8836c5a149f905e399b0be3628324ece46a0efb40e6ce569c8a543370,c196e56f7a63f2ac68abef42d2a9bc56cc9793c2381866a426b1d4b8dd3832d1,8a116fdf51e0430c44b4f6cd1a3ca6d827c81cf2015f223400e7b868f9ae0e40,790c58ce3300fad64e600e9e5204fa3efb888c23882a4612e013bf8f39b5398d,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.30831242385966645,24,38,12,0.0,,,,,,,,,308.31242385966647,,,,True,True,,,99,,,12,,,38,,,,624,243885,0,False
